"title","type","text"
"The Tragedy of Romeo and Juliet","Tragedy","  Ben. But new struck nine."
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy","  Rom. Ay me! sad hours seem long."
"The Tragedy of Romeo and Juliet","Tragedy","    Was that my father that went hence so fast?"
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy","  Ben. It was. What sadness lengthens Romeo's hours?"
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy","  Rom. Not having that which having makes them short."
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy","  Ben. In love?"
"The Tragedy of Romeo and Juliet","Tragedy",""
"The Tragedy of Romeo and Juliet","Tragedy","  Rom. Out-"
